epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2901,2.32636,4.79256,2.32686,0.00183,0.55,0.00157,0.00059,2.09523,5.28712,2.32916,8e-05,8e-05,8e-05
2,57.4228,1.82112,4.20724,1.86709,0.00283,0.85,0.00575,0.00234,1.76227,4.53421,1.59066,0.000177773,0.000177773,0.000177773
3,85.4938,1.66129,3.05932,1.60565,0.003,0.9,0.06881,0.03523,1.43446,4.28728,1.55486,0.00027307,0.00027307,0.00027307
4,111.802,1.62609,2.74516,1.66847,0.003,0.9,0.15336,0.06152,1.60496,4.34053,1.4986,0.000365893,0.000365893,0.000365893
5,139.313,1.52099,2.62004,1.50382,0.003,0.9,0.2057,0.06483,1.38474,4.31744,1.37964,0.00045624,0.00045624,0.00045624
6,166.638,1.5883,2.51304,1.48956,0.003,0.9,0.18555,0.07702,1.33085,4.36801,1.36147,0.000544113,0.000544113,0.000544113
7,193.996,1.53605,2.39724,1.42296,0.00317,0.95,0.02256,0.00647,1.33547,4.22358,1.303,0.00062951,0.00062951,0.00062951
8,221.471,1.48833,2.18365,1.30694,0.00267,0.8,0.08893,0.04287,1.26273,4.34702,1.38756,0.000712432,0.000712432,0.000712432
9,248.785,1.38819,2.04016,1.32095,0.003,0.9,0.01678,0.01004,1.31717,4.33018,1.39775,0.00079288,0.00079288,0.00079288
10,275.914,1.53357,2.00644,1.42414,0.003,0.9,0.01353,0.0055,1.34075,4.49983,1.49632,0.000870853,0.000870853,0.000870853
11,303.052,1.44014,1.98828,1.39288,0.003,0.9,0.17706,0.07607,1.33302,4.24864,1.42262,0.00094635,0.00094635,0.00094635
12,330.048,1.36404,1.9693,1.34165,0.003,0.9,0.27942,0.12958,1.48224,4.14514,1.48389,0.00101937,0.00101937,0.00101937
13,356.252,1.36252,2.06972,1.35084,0.00317,0.95,0.29441,0.11979,1.48165,3.82938,1.39583,0.00108992,0.00108992,0.00108992
14,382.889,1.39986,1.9718,1.36704,0.02923,0.65,0.22288,0.07799,1.4867,3.83183,1.38262,0.00115799,0.00115799,0.00115799
15,409.853,1.5017,2.01786,1.36673,0.42521,0.3,0.36213,0.15505,1.54581,3.38271,1.46903,0.00122359,0.00122359,0.00122359
16,436.224,1.27142,1.80065,1.18029,0.48354,0.35,0.47183,0.18392,1.57974,3.4084,1.53289,0.00128671,0.00128671,0.00128671
17,462.754,1.31081,1.90923,1.32122,0.32059,0.45,0.25384,0.09526,1.81067,3.55649,1.85587,0.00134736,0.00134736,0.00134736
18,489.402,1.33612,1.78738,1.29704,0.45216,0.6,0.48301,0.24161,1.73614,3.15497,1.78547,0.00140553,0.00140553,0.00140553
19,516.702,1.39576,1.7603,1.36473,0.32721,0.55,0.45552,0.20791,1.62927,3.17036,1.66942,0.00146123,0.00146123,0.00146123
20,543.047,1.3312,1.61419,1.38937,0.26257,0.25,0.14632,0.05073,2.05495,3.6941,2.01771,0.00151445,0.00151445,0.00151445
21,569.485,1.29398,1.76711,1.3037,0.2615,0.45,0.20277,0.08248,1.98886,3.44451,1.93025,0.001505,0.001505,0.001505
22,595.55,1.45575,1.79371,1.50732,0.18459,0.4,0.14945,0.05541,1.8047,3.88004,1.74711,0.00148025,0.00148025,0.00148025
23,621.931,1.41741,1.86139,1.38137,0.1599,0.4,0.0977,0.04209,1.8138,3.99366,1.67479,0.0014555,0.0014555,0.0014555
24,648.705,1.26765,1.60714,1.24658,0.68531,0.6,0.65593,0.31381,1.66029,2.35692,1.5097,0.00143075,0.00143075,0.00143075
